Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,python_yn,R_yn,spark,aws,excel
data scientist - multiple openings,Employer Provided Salary:$94K - $103K,"Now Brewing – Data Scientist! #tobeapartner
From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and the rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others.
As a Data Scientist on the Data, Analytics, Insights, and Business Operations team, you will work cross-functionally with data engineers, data scientists, business experts, and external vendors to help Starbucks make decisions better by using data and analytics. You will use your experience with forecasting, automating ETL processes, and designing and building analytical models using structured or unstructured data. You will work directly with business partners and technology teams from problem identification to solution. You will quickly become an expert in one of our key business and data domains (Supply Chain, People Analytics, Marketing, or Store) and work cross functionally in an analytics center of excellence to improve existing processes or analytical approaches






Show More
Report",3.7,"Starbucks
3.7",United States,United States,10000+ Employees,1971,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD),-1,0,1,94,103,98.5,"Starbucks
",United States,1,0,0,0,0,1
Data Scientist,Employer Provided Salary:$109K - $147K,"At QuantAQ, our mission is to mitigate global air pollution.
As a company, we value the role that fundamental scientific and engineering research play in developing new technologies while doing so with the knowledge that what we build must scale if we want to meet our goals.
At QuantAQ, we provide access to professional-grade air quality data to a variety of clients (including research, government, and the private sector) to empower informed decision-making and to create cleaner (air) outcomes. We provide our clients with everything they need to build and manage distributed air quality sensor networks at scale including our proprietary air quality sensors (developed through years of R+D at MIT and Aerodyne Research) and our integrated software platform. We care deeply about using innovative technologies and socio-technological approaches to help businesses, governments, and community stakeholders obtain actionable air quality information across a variety of contexts.
Show More
Report",3.0,"QuantAQ
3.0",Remote,Remote,201 to 500 Employees,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,$10+ billion (USD),-1,0,1,109,147,128.0,"QuantAQ
",Remote,1,0,0,0,0,0
Data Scientist,Employer Provided Salary:$50.00 - $60.00 Per Hour,"Data Scientist – Contractor
Kaizen Analytix LLC, is an analytics services company seeking a qualified Data Science Contractor. Responsibilities and job requirements are below. This role requires an estimated 40 hours/week commitment for 3 to 6 months.

Responsibilities:
Work with team of analysts/data scientists/software engineers in performing and implementing high quality, sophisticated analysis in support of client engagements
Apply multi-variable, complex statistical analysis and mathematical programming algorithms like linear programming, MIP, discrete optimization on large data sets to gain useful insights into the data, detect trends and outliers/invalid data conditions present in the data sets
Show More
Report",3.9,"Kaizen Analytix
3.9",Remote,Remote,1 to 50 Employees,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,$10+ billion (USD),-1,1,1,50,60,55.0,"Kaizen Analytix
",Remote,1,0,0,0,0,0
Data Scientist,Employer Provided Salary:$50.00 - $60.00 Per Hour,"Your Mission:
The Global Analytics & Data Products Team is looking for a Data Scientist. As a key member of the Data Science Team, your mission is to put science into decision making.

Priorities can change in a fast-paced environment like ours, so this role includes, but is not limited to the following responsibilities:

Partner with cross-functional teams to prioritize domain use cases for customer engagement and monetization

Develop novel research to deduce and draw conclusions from behavioral data to directly influence development

Design, analyze and graduate experiments within your domain assignments

Provide technical leadership to data scientists with a wide range of backgrounds through code reviews

Democratize and socialize learning by centralizing learning in a internal repository and external blog

Understand stakeholder needs and educate partners on the formulation of research questions and methodologies

Evangelize our data science practice within the company to increase research utilization and recruit new talent


Successful influencing of non-technical peers and leadership to deliver substantive change

Measurable consumer engagement impact through analysis, statistical models or products built

Measurable revenue impact through analysis, statistical models or products built

Measurable consumer experience impact through analysis, statistical models or products built

Qualitative and quantitative deductions from experimentation that lead to product optimization

Your Platform,

A truly global company, we have headquarters in Amsterdam, Paris, Turin, and Auburn Hills. We also have technology hubs on the east and west coast of the United States, in South America and India. These locations are the nerve center of our company, where the best ideas combine with unrivalled rigor to create the biggest and best automotive experiences in the world.

Our World

Great mobility solutions start with great people! This is an exciting time to join us!

Stellantis is a leading global mobility player guided by a clear mission: to provide freedom of movement for all through distinctive, appealing, affordable and sustainable mobility solutions. Our Company's strength lies in the breadth of our iconic brand portfolio, the diversity and passion of our 300,000 people, and our deep roots in the communities in which we operate.

In this new era of mobility, our portfolio of brands is uniquely positioned to offer distinctive and sustainable solutions to meet the evolving needs of customers, as they embrace electrification, connectivity, autonomous driving and shared ownership. Founded by visionaries who infused them with passion and competitive spirit, these brands have made automotive history for more than a century and continue to speak to customers and inspire our employees today.

The driving force behind us is the diverse and talented group of men and women around the world who bring their passion and experience to their work every day. And while we are a truly global organization, we remain deeply rooted in the communities in which we operate, and our people live and work.

EOE/Disability/Veteran


Bachelor's degree in Computer Science, Computer Engineering, Electrical Engineering or related degree field

1 year or more of experience in advanced analytics / data science

Strong technical skills with SQL, R, Python for data analysis and experience in ML driven products

Experience with distributed analytical processing technologies - Spark, Hive, Presto

Experience in deriving narrative from data and communicate the results effectively

Experience in AB testing and causal inference methodologies

Demonstrated programming skills in software development settings a plus


Be active in the industry, recognized for the application of science within your industry

Exemplifies multidimensional skill sets -- data science, experimentation, analysis, engineering, etc

Experience with predictive and prescriptive modeling machine learning, a plus

Our benefits reflects the FCA commitment to helping you reach your personal and professional goals. In addition to an environment that promotes career development, we offer benefits for a healthy lifestyle and a rewarding future, designed to take care of you and your family, in various stages of life.

As a global company, our employee packages will vary by country, customary norms and the legal entity into which you are hired.
Show More
Report",3.6,"FCA
3.6",Michigan,Michigan,10000+ Employees,1925,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1,1,1,50,60,55.0,"FCA
",Michigan,1,1,0,1,0,0
Sr. Data Scientist (CBP),Employer Provided Salary:$50.00 - $55.00 Per Hour,"Job Mode: Remote
Job Title: Senior Data Scientist (CBP)
Visa Status : GC / USC
Job Type: W2
Job Description:
Required Qualifications
· 5+ years of related experience
· Experience in developing machine learning models and applying advanced analytics solutions to solve complex business problems
Show More
Report",3.6,Hire Force Global,Remote,Remote,Unknown,Company - Public,Unknown / Non-Applicable,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1,1,1,50,55,52.5,Hire Force Glo,Remote,1,0,0,0,0,0
Azure Data Scientist (Hybrid),Employer Provided Salary:$80K - $100K,"Experience with Data Warehouses, Data Governance, Data Analytics, and/or Database Modeling.
One (1) plus years of experience in developing data ingestion, streaming, data processing, and analytical pipelines.
One (1) plus years of experience in Microsoft Azure solutions (Azure Data/Analytics stack including ADF, Azure Event Hub, Data Bricks, Data Lake Gen 2, and Synapse).
Experience with Git/Azure DevOps.
Azure Data/Architecture certification (a plus).
General knowledge of Power BI.
Show More
Report",4.8,"RelMap Consulting
4.8","Oak Brook, IL","Oak Brook, IL",1 to 50 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),-1,0,1,80,100,90.0,"RelMap Consulting
", IL,1,0,0,0,0,0
MLOps Engineer / Data Scientist,Employer Provided Salary:$70.00 - $75.00 Per Hour,"Principle Duties and Responsibilities:
Increase our deployment velocity, including the process for deploying models and data pipelines into production.
Improve the creation of dependable releases.
Build and maintain infrastructure as code (IaC) in the cloud, that can scale when needed.
Build and maintain data pipelines for analytics, model evaluation and training (includes versioning, compliance and validation)
Working on DevOps/Agile operations process and tools area (Code review, unit test automation, Build & Release automation, Environment, Service, Incident and Change Management)





Show More
Report",4.7,"Kani Solutions
4.7",Remote,Remote,201 to 500 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),-1,1,1,70,75,72.5,"Kani Solutions
",Remote,1,0,0,0,0,0
"Data Scientist I, Product Analytics",Employer Provided Salary:$115K - $151K,"Hi, we're Oscar. We're hiring a Data Scientist I to join our Product Analytics team.
Oscar is the first health insurance company built around a full stack technology platform and a focus on serving our members. We started Oscar in 2012 to create the kind of health insurance company we would want for ourselves—one that behaves like a doctor in the family.
About the role:
+Oscar is Oscar's software platform and Campaign Builder is a tool that providers, payers, and partners use to engage with their members and customers. The Data Scientist I, Product Analytics will play a critical role in developing the data pipeline management and reporting infrastructure for +Oscar Campaign Builder clients. Additionally, they'll partner with the Customer Success function to conduct outcomes analytics and reporting based on client needs and interest.
Show More
Report",3.5,"Oscar Health
3.5","New York, NY","New York, NY",1001 to 5000 Employees,2012,Company - Public,Insurance Agencies & Brokerages,Insurance,$1 to $5 billion (USD),-1,0,1,115,151,133.0,"Oscar Health
", NY,1,0,0,0,0,0
Data Scientist,$107K - $166K (Glassdoor est.),"Responsibilities

• Make recommendations regarding the collection, extraction, and transformation of large data sets
• Interpret data and analyze results
• Translate analytical insights into clear recommendations; identify trends and patterns to inform business decisions and product design
• Leverage Python to analyze complex data
• Design and develop customized interactive reports and dashboards in Tableau; schedule in Tableau Server
• Define and develop a data migration strategy between different products and platforms
• Develop creative ways to identify and use data that significantly impact key business metrics
• Assess the potential usefulness and validity of new data sources
• Utilize statistical approaches to build predictive models
• Mentor other team members/ analysts to grow their skills and careers
Show More
Report",4.5,"Colsh Consultants
4.5","Santa Clara, CA","Santa Clara, CA",Unknown,2005,Unknown,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,0,0,107,166,136.5,"Colsh Consultants
", CA,1,1,0,0,0,0
Data Scientist,Employer Provided Salary:$90K - $105K,"At Anser Advisory, we strive and succeed by creating smart, dynamic and professionally skilled teams to deliver extraordinary projects for our clients. You will work on interesting projects which will expand your expertise and hone your technical skills through the ability to access the most advanced technology on the market. Your successful impact will help us obtain our goal of being the nationwide go-to professional services provider. Anser provides our clients with advisory, compliance, program and project construction management services at the highest level of dedication.

Our relationships are on our credibility to deliver on our commitments, with unbeatable service levels to our clients which has resulted in our rapid growth, nationwide.

We are seeking a Data Scientist to support our utility clients in Southern California. The Data Scientist candidate will participate and may lead efforts for big data analytics projects that perform functions such as: access, validate, and analyze a variety of data sets to streamline reporting and tool development. The candidate will help maintain and improve existing qualitative models using advanced analytics tools. In this role you will be expected to support our client directly along with other internal company projects and or solutions.

Show More
Report",4.3,"Anser Advisory
4.3","Santa Ana, CA","Santa Ana, CA",51 to 200 Employees,Company - Private,Building & Personnel Services,Management & Consulting,$25 to $100 million (USD),Unknown / Non-Applicable,-1,0,1,90,105,97.5,"Anser Advisory
", CA,1,0,0,0,0,0
Data Scientist Trainee Cohort3,$70K - $109K (Glassdoor est.),"Overview:
Axle Informatics is a scientific research and information technology company that offers innovative computer services, informatics, and bioresearch solutions to research centers and healthcare organizations around the globe. With expertise in software engineering, bioinformatics, data science, molecular research, and program management, we focus on developing and applying technological tools and scientific techniques to empower the world of research. We work with some of the top research organizations and facilities in the country including multiple institutes at the National Institutes of Health (NIH). Axle is offering this postion hybrid. Start date set for September.

We are looking for Data Science Trainees to support portions of engineering based Data Science projects which Axle Informatics teams are working on currently at the National Center for Advancing Translational Science (NCATS) and the NIH.
Responsibilities:
Qualifications:



Show More
Report",3.6,"Axle Informatics
3.6","Rockville, MD","Rockville, MD",501 to 1000 Employees,2002,Company - Private,Research & Development,Management & Consulting,$100 to $500 million (USD),-1,0,0,70,109,89.5,"Axle Informatics
", MD,1,0,0,0,0,0
Data Scientist,Employer Provided Salary:$60K - $180K,"Immuna platform helps crypto investors manage their risks of investing in crypto assets. The platform monitors and proactively defends investors’ crypto investments from unexpected exploits and undesirable economic situations. It detects on-chain exploits in real time and extracts invested assets on behalf of the investors without needing access to their private keys. For instance: Immuna would have detected anomalous events of unexpected approval and transfers, which led to the $120M BadgerDAO Hack.
The ideal person would be an experienced and fast learner with an entrepreneurial mindset. You will be working with a team of Forbes 30 under 30 serial entrepreneurs comprising of Stanford engineers and Berkeley MBA with 10+ years of experience spanning across Forbes AI 50 startups to large tech companies such as Google and Amazon.
You will be working closely with the founders to explore cutting-edge applied machine learning and statistical techniques to identify risk in DeFi investing. You will be architecting smart contracts for a new type of problem in the Blockchain ecosystem and breaking ground in integrating our systems with other technologies.
Show More
Report",3.6,Immuna,California,-1,-1,-1,-1,-1,-1,-1,-1,0,1,60,180,120.0,Imm,California,0,0,0,0,0,0
Game Data Scientist,Employer Provided Salary:$60K - $180K,"About Partyup

Partyup is a new mobile game studio that’s putting together a small team to make casual and multiplayer mobile games. The founding team has over 100 million combined downloads and 5 top 10 hits. We currently have a promising launched game called Block Jam that we are building a team to support.

Check out some of our previous games at partyupgames.com

Game Data Scientist

We're looking for a talented Game Data Scientist to join the team of our newly launched game Block Jam 3D. You will serve as the sole data scientist to help the game team make data informed decisions. We are primarily looking for a full-time hire but are also open to a freelance or contract position. Position can be remote, but you must be located in the United States.

What you will do
What you need to have
Nice to have
Show More
Report",4.4,"Partyup
4.4",Remote,Remote,Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1,-1,0,1,60,180,120.0,"Partyup
",Remote,1,0,0,0,0,0
